timestamp,time,load,cpu_usage,gpu_power,cpu_temp,gpu_temp,current,voltage,power,fan1,fan2,stage
1776280128.2943535,00:38:48,NO_LOAD,0.0,2.18,0.0,42.0,0.442,16.47,7.28,42,42,2
1776280129.5347059,00:38:49,NO_LOAD,0.8,1.22,0.0,42.0,0.441,16.45,7.25,42,42,2
1776280130.761611,00:38:50,NO_LOAD,0.6,2.19,0.0,42.0,0.456,16.46,7.51,42,42,2
1776280131.9930723,00:38:51,NO_LOAD,0.6,1.25,0.0,41.0,0.460,16.47,7.58,42,42,2
1776280133.2163699,00:38:53,NO_LOAD,0.7,2.05,0.0,41.0,0.467,16.47,7.69,42,42,2
1776280134.4539082,00:38:54,NO_LOAD,0.6,1.22,0.0,41.0,0.470,16.44,7.73,42,42,2
1776280135.717807,00:38:55,NO_LOAD,0.6,2.19,0.0,41.0,0.440,16.46,7.24,42,41,2
1776280136.9546587,00:38:56,NO_LOAD,0.6,2.14,0.0,41.0,0.439,16.46,7.23,41,41,2
1776280138.181055,00:38:58,NO_LOAD,0.6,1.19,0.0,41.0,0.448,16.47,7.38,41,41,2
1776280139.4059863,00:38:59,NO_LOAD,0.6,1.17,0.0,41.0,0.461,16.47,7.59,41,41,1
1776280140.6313753,00:39:00,NO_LOAD,0.9,2.10,0.0,41.0,0.451,16.47,7.43,41,41,1
1776280141.8819377,00:39:01,NO_LOAD,0.6,1.23,0.0,41.0,0.425,16.45,6.99,41,41,1
1776280143.1211138,00:39:03,NO_LOAD,0.7,1.23,0.0,41.0,0.467,16.46,7.69,41,41,1
1776280144.3579683,00:39:04,NO_LOAD,0.7,2.09,0.0,41.0,0.442,16.45,7.27,41,41,1
1776280145.5896144,00:39:05,NO_LOAD,0.8,1.23,0.0,40.0,0.465,16.46,7.65,41,41,1
1776280146.6898825,00:39:06,NO_LOAD,0.6,2.13,0.0,41.0,0.447,16.46,7.36,41,41,1
1776280147.8184645,00:39:07,NO_LOAD,0.7,2.10,0.0,41.0,0.476,16.43,7.82,41,41,1
1776280149.054648,00:39:09,NO_LOAD,0.6,1.19,0.0,41.0,0.441,16.47,7.26,41,41,1
1776280150.2980163,00:39:10,NO_LOAD,0.6,2.25,0.0,41.0,0.429,16.46,7.06,41,41,1
1776280151.5227916,00:39:11,NO_LOAD,0.6,1.23,0.0,40.0,0.444,16.43,7.30,41,41,1
1776280152.755236,00:39:12,NO_LOAD,0.5,2.19,0.0,41.0,0.418,16.46,6.88,41,41,1
1776280153.9958909,00:39:13,NO_LOAD,0.7,1.21,0.0,41.0,0.445,16.45,7.32,41,41,1
1776280155.2293324,00:39:15,NO_LOAD,0.8,2.02,0.0,40.0,0.456,16.46,7.50,41,41,1
